Elev,MP
15.5,499.4305556
17,499.7361111
17,500.2083333
16,500.4027778
16,500.8888889
17,501.0684932
16,501.260274
16,502.5753425
18.5,503.0466667
17,503.3466667
17,503.44
20,504.047619
19,504.244898
19,504.6258503
20,504.8163265
20,505.369863
34.3,513.739726
34.7,513.7876712
35.4,513.8287671
36.2,514.6462585
35.6,514.6843537
34.9,514.7823129
34.9,514.8027211
34.6,514.8163265
33.8,515.119863
33.5,515.1369863
33.5,515.1609589
33.9,515.1952055
34.9,515.2363014
37,515.2979452
37.6,515.3356164
37.6,515.359589
36.8,515.4178082
33.9,515.5479452
33.4,515.5890411
33.4,515.609589
34.1,515.6643836
34.1,515.6986301
34,515.7191781
34.5,515.739726
33.9,515.7636986
33.9,515.8527397
33.4,515.9246575
33.4,516.8503401
34.1,517.0340136
35.7,517.1088435
44.9,517.3333333
60.9,517.6666667
65.2,517.952381
69.7,518.2671233
75.5,518.8630137
73.4,518.9246575
63.6,519.1527778
60.4,519.2465278
58.9,519.3680556
60.4,519.4236111
64.5,519.5173611
74.8,519.7152778
80.4,519.8506944
84.7,520.4324324
84.3,520.6486486
82.2,520.8108108
78.4,520.9358108
72.3,521.0782313
67.8,521.1496599
67.1,521.2517007
77,521.4931973
77.4,521.537415
74.1,521.9387755
72.4,522.1931034
74.1,522.4758621
73.5,522.6965517
68.6,523.0344828
66.7,523.1724138
71.3,523.3655172
72.8,523.4586207
68.8,523.6517241
68.7,523.7758621
70.5,523.9586207
74.3,525.5655172
75.6,525.937931
75.7,526.869863
77.9,527.3537415
77.7,527.4693878
80.4,527.7789116
80.6,528.0952381
84.6,528.2108844
92.7,528.3605442
96.1,528.4693878
96.9,528.6054422
94.8,528.829932
94.3,529.0753425
95.7,529.609589
94.9,529.8219178
97.7,529.9383562
98.6,530.0416667
99.4,530.5069444
104.6,530.9722222
104.8,531.2965517
102.4,531.5931034
102.6,531.8
100.9,531.9413793
105.9,532.2465753
106.9,532.6506849
108,532.7671233
110.3,533.1972789
108.8,533.5102041
110.5,533.7176871
109.8,533.8095238
110.3,533.9931973
110,534.262069
112.4,534.4896552
114.3,534.6482759
124,534.937931
150.2,535.4827586
153.7,535.5793103
156.3,535.6931034
158.7,535.8068966
157.3,535.9103448
146,536.1730104
109.5,536.9100346
97.9,537.1438356
90.7,537.2534247
87.1,537.3493151
87.3,537.4417808
91.4,537.6506849
88.2,537.7465753
86.4,537.859589
86.6,538.4536082
87.7,538.5292096
115.6,539.027027
116.9,539.0810811
116.9,539.222973
118.6,539.3006757
136.5,539.6993243
137.4,539.8006757
128.1,540.0136054
128.5,540.0816327
135,540.207483
147.4,540.5034014
151.9,540.6122449
156.4,540.707483
178.3,541.1909722
178.6,541.2708333
177.1,541.3333333
171.5,541.4652778
171.4,541.5763889
173.2,541.6388889
176,541.8125
175.4,541.8506944
164.7,542.1034483
165.3,542.1448276
175.3,542.3931034
175.9,542.4482759
175,542.4896552
162.1,542.7586207
161.6,542.8034483
168.5,543.0069204
175.8,543.2387543
174.6,543.3391003
172.2,543.4359862
170.6,543.6747405
180.5,543.8546713
187,544.0137931
188,544.0827586
187.6,544.3965517
184.6,544.4758621
171.9,544.6896552
171.8,544.7862069
188.6,545.1292517
190.4,545.244898
189.8,545.3605442
185.6,545.5340136
192.5,545.7687075
191.2,545.9319728
188.4,546.0479452
187.8,546.2363014
186.1,546.3938356
184.9,546.4726027
179.8,546.5958904
182,546.6712329
190,546.8561644
191.5,546.9486301
191.6,547.4236111
193.7,547.5277778
193.7,547.5763889
190.8,547.6875
187.2,547.7708333
198.4,548.0553633
198.2,548.8304498
195.8,548.9377163
186.8,549.1689655
185.7,549.4896552
189.2,549.6275862
198,549.8413793
206.8,550.2430556
209.1,551.1541096
207.3,551.3287671
210.7,551.5958904
212.8,552.1768707
216.2,552.5
216.2,553.2743056
221.3,553.5625
219.2,553.8541667
220.7,554.1394558
225,554.4761905
225.8,554.8605442
222.5,555.0662021
223.4,555.2090592
226.6,555.2787456
233.1,555.6236934
234.7,555.9233449
238.3,556.2832765
235.6,556.5255973
234,556.7986348
234,557.0538721
238,557.7643098
235.9,557.8989899
201.9,558.5902778
191.7,558.8263889
185.4,558.9548611
176.3,559.1038062
176.3,559.2352941
186.3,559.4290657
198.3,559.6608997
213.3,560.1292517
210.3,560.2380952
190.3,560.6326531
191.9,560.792517
202.4,561.0347222
200.6,561.15625
147.6,562.1517241
125.6,562.5517241
122.6,562.6517241
122.6,562.7862069
119,562.937931
120.6,563.1575342
153.8,563.8219178
155.67,563.8767123
161.91,563.9863014
163.1,564.0068493
164.81,564.0650685
172.73,564.2191781
175.41,564.2568493
180.21,564.3287671
186.58,564.4520548
188,564.5273973
189.4,564.6643836
189.4,564.8321918
189.9,564.9246575
192.1,565.0136986
192.2,565.0445205
190.2,565.1369863
189.6,565.1575342
169.6,565.5205479
167.7,565.5616438
158.48,565.7260274
153.06,566.0277778
152.88,566.1111111
152.22,566.2013889
153.34,566.4722222
154.72,566.5833333
154.51,566.6388889
154.4,566.6666667
152.04,566.7430556
135.44,567.1027397
135.2,567.1369863
135.2,567.1575342
136.4,567.2123288
137.1,567.2568493
137.1,567.3150685
132.69,567.4863014
131.61,567.5547945
131.61,567.5787671
132.32,567.7123288
132.22,567.760274
132.3,567.8013699
131.91,567.8561644
131.91,567.8767123
132.11,567.9486301
134.91,568.0484429
136.59,568.0865052
149.89,568.4429066
150.2,568.4636678
151.9,568.4982699
157.22,568.5709343
159.2,568.6470588
166.52,568.7716263
168.2,568.8131488
169.5,568.8685121
169.5,568.9031142
169.1,568.9238754
164.9,569.0544218
165,569.0884354
165.5,569.1088435
165.9,569.1836735
166.41,569.2414966
166.61,569.292517
169.5,569.4421769
173.9,569.585034
176.42,569.6394558
177.8,569.6768707
184.52,569.8231293
194.01,570.0756014
198.31,570.1718213
203.53,570.2817869
206.59,570.3436426
212.23,570.4536082
213.3,570.4728522
214.91,570.5085911
216.91,570.5429553
220.6,570.6013746
230.8,570.8213058
244.9,571.0721649
248.11,571.1305842
253.57,571.2611684
256.97,571.4467354
258.57,571.5876289
261.01,571.6426117
267.5,571.7594502
267.5,571.7835052
265.8,571.8213058
262.5,571.8591065
261.6422097,571.8714258
261.2153472,571.8837451
261.2194126,571.8960643
261.6544058,571.9083836
262.5,571.9243986
267.7,572.0204082
271,572.1292517
271.8558993,572.1562687
272.0662102,572.1673716
271.993664,572.1784745
271.6382605,572.1895774
271,572.2006803
261,572.3401361
259,572.4217687
259.5,572.5034014
253.5,572.6054422
253.3892635,572.6071899
253.012866,572.6152564
252.9058563,572.6233228
253.0682343,572.6313893
253.5,572.6394558
261.5,572.755102
261.9478571,572.7636054
262.0971429,572.7721088
261.9478571,572.7806122
261.5,572.7891156
257.5,572.8435374
256.4251429,572.8639456
256.0668571,572.8843537
256.4251429,572.9047619
257.5,572.9251701
269.5,573.0874126
283,573.3181818
284.4854737,573.3452337
285.8781053,573.3813029
286.0947368,573.4173721
285.1353684,573.4534413
283,573.4895105
273,573.6223776
272.301411,573.63163
271.8508083,573.6398064
271.7337055,573.6479828
271.9501028,573.6561592
272.5,573.6643357
277.5,573.7202797
278.5468463,573.735458
279.0266926,573.7506363
278.9395389,573.7658146
278.2853852,573.7809929
277.5,573.7937063
263.5,574.0207612
263.0242869,574.0312073
262.8877779,574.0416533
263.090473,574.0520994
263.6323724,574.0625454
265.5,574.0899654
281,574.3114187
288.6230862,574.4233386
289.0286771,574.4299607
289.3433597,574.4365828
289.567134,574.4432049
289.7,574.449827
291.7,574.5916955
