,Time(sec),Distance(feet),SOC,Elevation(feet),Surplus(Foot-pound)
0,0.0,0.0,0.0,15.5,0.0
1,1.0,44.0,0.0,15.5,0.0
2,2.0,88.0,0.0,15.540909098347099,0.0
3,3.0,132.0,0.0,15.581818196694197,0.0
4,4.0,176.0,0.0,15.622727295041296,0.0
5,5.0,220.0,0.0,15.663636393388394,0.0
6,6.0,264.0,0.0,15.704545491735493,0.0
7,7.0,308.0,0.0,15.745454590082591,0.0
8,8.0,352.0,0.0,15.78636368842969,0.0
9,9.0,396.0,0.0,15.827272786776788,0.0
10,10.0,440.0,0.0,15.868181885123887,0.0
11,11.0,484.0,0.0,15.909090983470985,0.0
12,12.0,528.0,0.0,15.950000081818084,0.0
13,13.0,572.0,0.0,15.990909180165183,0.0
14,14.0,616.0,0.0,16.03181827851228,0.0
15,15.0,660.0,0.0,16.072727376859376,0.0
16,16.0,704.0,0.0,16.113636475206473,0.0
17,17.0,748.0,0.0,16.15454557355357,0.0
18,18.0,792.0,0.0,16.195454671900666,0.0
19,19.0,836.0,0.0,16.236363770247763,0.0
20,20.0,880.0,0.0,16.27727286859486,0.0
21,21.0,924.0,0.0,16.318181966941957,0.0
22,22.0,968.0,0.0,16.359091065289054,0.0
23,23.0,1012.0,0.0,16.40000016363615,0.0
24,24.0,1056.0,0.0,16.440909261983247,0.0
25,25.0,1100.0,0.0,16.481818360330344,0.0
26,26.0,1144.0,0.0,16.52272745867744,0.0
27,27.0,1188.0,0.0,16.563636557024537,0.0
28,28.0,1232.0,0.0,16.604545655371634,0.0
29,29.0,1276.0,0.0,16.64545475371873,0.0
30,30.0,1320.0,0.0,16.686363852065828,0.0
31,31.0,1364.0,0.0,16.727272950412925,0.0
32,32.0,1408.0,0.0,16.76818204876002,0.0
33,33.0,1452.0,0.0,16.809091147107118,0.0
34,34.0,1496.0,0.0,16.850000245454215,0.0
35,35.0,1540.0,0.0,16.89090934380131,0.0
36,36.0,1584.0,0.0,16.93181844214841,0.0
37,36.66666000000987,1613.3330400004343,0.0,17.0,0.0
38,37.66666000000987,1657.3330400004343,0.0,17.0,0.0
39,38.66666000000987,1701.3330400004343,0.0,17.0,0.0
40,39.66666000000987,1745.3330400004343,0.0,17.0,0.0
41,40.66666000000987,1789.3330400004343,0.0,17.0,0.0
42,41.66666000000987,1833.3330400004343,0.0,17.0,0.0
43,42.66666000000987,1877.3330400004343,0.0,17.0,0.0
44,43.66666000000987,1921.3330400004343,0.0,17.0,0.0
45,44.66666000000987,1965.3330400004343,0.0,17.0,0.0
46,45.66666000000987,2009.3330400004343,0.0,17.0,0.0
47,46.66666000000987,2053.3330400004343,0.0,17.0,0.0
48,47.66666000000987,2097.3330400004343,0.0,17.0,0.0
49,48.66666000000987,2141.3330400004343,0.0,17.0,0.0
50,49.66666000000987,2185.3330400004343,0.0,17.0,0.0
51,50.66666000000987,2229.3330400004343,0.0,17.0,0.0
52,51.66666000000987,2273.3330400004343,0.0,17.0,0.0
53,52.66666000000987,2317.3330400004343,0.0,17.0,0.0
54,53.66666000000987,2361.3330400004343,0.0,17.0,0.0
55,54.66666000000987,2405.3330400004343,0.0,17.0,0.0
56,55.66666000000987,2449.3330400004343,0.0,17.0,0.0
57,56.66666000000987,2493.3330400004343,0.0,17.0,0.0
58,57.66666000000987,2537.3330400004343,0.0,17.0,0.0
59,58.66666000000987,2581.3330400004343,0.0,17.0,0.0
60,59.66666000000987,2625.3330400004343,0.0,17.0,0.0
61,60.66666000000987,2669.3330400004343,0.0,17.0,0.0
